"yr","mo.ab","site","mo.no","mo.no0.5","NDVI","mo.no.char","i","mo.char","i.new","day.num","julian","days.elapsed","date"
"1993","a","broadleaf",1,1,0.7515,"1",1,"Jan",1,7,7,7,"7/1/1993"
"1993","a","Lloyd",1,1,0.6509,"1",1,"Jan",13,7,7,7,"7/1/1993"
"1993","a","scrub",1,1,0.4641,"1",1,"Jan",25,7,7,7,"7/1/1993"
"1993","b","broadleaf",1,1.5,0.7201,"1",2,"Jan",37,22,22,29,"22/1/1993"
"1993","b","Lloyd",1,1.5,0.6367,"1",2,"Jan",49,22,22,29,"22/1/1993"
"1993","b","scrub",1,1.5,0.4515,"1",2,"Jan",61,22,22,29,"22/1/1993"
"1993","a","broadleaf",2,2,0.6764,"2",3,"Feb",2,7,38,67,"7/2/1993"
"1993","a","Lloyd",2,2,0.6816,"2",3,"Feb",14,7,38,67,"7/2/1993"
"1993","a","scrub",2,2,0.4482,"2",3,"Feb",26,7,38,67,"7/2/1993"
"1993","b","broadleaf",2,2.5,0.6128,"2",4,"Feb",38,22,53,120,"22/2/1993"
"1993","b","Lloyd",2,2.5,0.6544,"2",4,"Feb",50,22,53,120,"22/2/1993"
"1993","b","scrub",2,2.5,0.4255,"2",4,"Feb",62,22,53,120,"22/2/1993"
"1993","a","broadleaf",3,3,0.6357,"3",5,"Mar",3,7,66,186,"7/3/1993"
"1993","a","Lloyd",3,3,0.5785,"3",5,"Mar",15,7,66,186,"7/3/1993"
"1993","a","scrub",3,3,0.4735,"3",5,"Mar",27,7,66,186,"7/3/1993"
"1993","b","broadleaf",3,3.5,0.7127,"3",6,"Mar",39,22,81,267,"22/3/1993"
"1993","b","Lloyd",3,3.5,0.684,"3",6,"Mar",51,22,81,267,"22/3/1993"
"1993","b","scrub",3,3.5,0.4727,"3",6,"Mar",63,22,81,267,"22/3/1993"
"1993","a","broadleaf",4,4,0.769,"4",7,"Apr",4,7,97,364,"7/4/1993"
"1993","a","Lloyd",4,4,0.6455,"4",7,"Apr",16,7,97,364,"7/4/1993"
"1993","a","scrub",4,4,0.4286,"4",7,"Apr",28,7,97,364,"7/4/1993"
"1993","b","broadleaf",4,4.5,0.7702,"4",8,"Apr",40,22,112,476,"22/4/1993"
"1993","b","Lloyd",4,4.5,0.6391,"4",8,"Apr",52,22,112,476,"22/4/1993"
"1993","b","scrub",4,4.5,0.4618,"4",8,"Apr",64,22,112,476,"22/4/1993"
"1993","a","broadleaf",5,5,0.5996,"5",9,"May",5,7,127,603,"7/5/1993"
"1993","a","Lloyd",5,5,0.6406,"5",9,"May",17,7,127,603,"7/5/1993"
"1993","a","scrub",5,5,0.4453,"5",9,"May",29,7,127,603,"7/5/1993"
"1993","b","broadleaf",5,5.5,0.5741,"5",10,"May",41,22,142,745,"22/5/1993"
"1993","b","Lloyd",5,5.5,0.5998,"5",10,"May",53,22,142,745,"22/5/1993"
"1993","b","scrub",5,5.5,0.3277,"5",10,"May",65,22,142,745,"22/5/1993"
"1993","a","broadleaf",6,6,0.7163,"6",11,"Jun",6,7,158,903,"7/6/1993"
"1993","a","Lloyd",6,6,0.6535,"6",11,"Jun",18,7,158,903,"7/6/1993"
"1993","a","scrub",6,6,0.4043,"6",11,"Jun",30,7,158,903,"7/6/1993"
"1993","b","broadleaf",6,6.5,0.7247,"6",12,"Jun",42,22,173,1076,"22/6/1993"
"1993","b","Lloyd",6,6.5,0.6528,"6",12,"Jun",54,22,173,1076,"22/6/1993"
"1993","b","scrub",6,6.5,0.5099,"6",12,"Jun",66,22,173,1076,"22/6/1993"
"1993","a","broadleaf",7,7,0.6987,"7",13,"Jul",7,7,188,1264,"7/7/1993"
"1993","a","Lloyd",7,7,0.6675,"7",13,"Jul",19,7,188,1264,"7/7/1993"
"1993","a","scrub",7,7,0.3547,"7",13,"Jul",31,7,188,1264,"7/7/1993"
"1993","b","broadleaf",7,7.5,0.6729,"7",14,"Jul",43,22,203,1467,"22/7/1993"
"1993","b","Lloyd",7,7.5,0.6519,"7",14,"Jul",55,22,203,1467,"22/7/1993"
"1993","b","scrub",7,7.5,0.3709,"7",14,"Jul",67,22,203,1467,"22/7/1993"
"1993","a","broadleaf",8,8,0.6835,"8",15,"Aug",8,7,219,1686,"7/8/1993"
"1993","a","Lloyd",8,8,0.6454,"8",15,"Aug",20,7,219,1686,"7/8/1993"
"1993","a","scrub",8,8,0.3816,"8",15,"Aug",32,7,219,1686,"7/8/1993"
"1993","b","broadleaf",8,8.5,0.67,"8",16,"Aug",44,22,234,1920,"22/8/1993"
"1993","b","Lloyd",8,8.5,0.6413,"8",16,"Aug",56,22,234,1920,"22/8/1993"
"1993","b","scrub",8,8.5,0.4066,"8",16,"Aug",68,22,234,1920,"22/8/1993"
"1993","a","broadleaf",9,9,0.5693,"9",17,"Sep",9,7,250,2170,"7/9/1993"
"1993","a","Lloyd",9,9,0.6126,"9",17,"Sep",21,7,250,2170,"7/9/1993"
"1993","a","scrub",9,9,0.2881,"9",17,"Sep",33,7,250,2170,"7/9/1993"
"1993","b","broadleaf",9,9.5,0.8049,"9",18,"Sep",45,22,265,2435,"22/9/1993"
"1993","b","Lloyd",9,9.5,0.6025,"9",18,"Sep",57,22,265,2435,"22/9/1993"
"1993","b","scrub",9,9.5,0.5074,"9",18,"Sep",69,22,265,2435,"22/9/1993"
"1993","a","broadleaf",10,10,0.8458,"10",19,"Oct",10,7,280,2715,"7/10/1993"
"1993","a","Lloyd",10,10,0.6201,"10",19,"Oct",22,7,280,2715,"7/10/1993"
"1993","a","scrub",10,10,0.5018,"10",19,"Oct",34,7,280,2715,"7/10/1993"
"1993","b","broadleaf",10,10.5,0.797,"10",20,"Oct",46,22,295,3010,"22/10/1993"
"1993","b","Lloyd",10,10.5,0.6841,"10",20,"Oct",58,22,295,3010,"22/10/1993"
"1993","b","scrub",10,10.5,0.5641,"10",20,"Oct",70,22,295,3010,"22/10/1993"
"1993","a","broadleaf",11,11,0.8114,"11",21,"Nov",11,7,311,3321,"7/11/1993"
"1993","a","Lloyd",11,11,0.6839,"11",21,"Nov",23,7,311,3321,"7/11/1993"
"1993","a","scrub",11,11,0.6211,"11",21,"Nov",35,7,311,3321,"7/11/1993"
"1993","b","broadleaf",11,11.5,0.7016,"11",22,"Nov",47,22,326,3647,"22/11/1993"
"1993","b","Lloyd",11,11.5,0.6297,"11",22,"Nov",59,22,326,3647,"22/11/1993"
"1993","b","scrub",11,11.5,0.5509,"11",22,"Nov",71,22,326,3647,"22/11/1993"
"1993","a","broadleaf",12,12,0.6912,"12",23,"Dec",12,7,341,3988,"7/12/1993"
"1993","a","Lloyd",12,12,0.6585,"12",23,"Dec",24,7,341,3988,"7/12/1993"
"1993","a","scrub",12,12,0.5072,"12",23,"Dec",36,7,341,3988,"7/12/1993"
"1993","b","broadleaf",12,12.5,0.8087,"12",24,"Dec",48,22,356,4344,"22/12/1993"
"1993","b","Lloyd",12,12.5,0.6522,"12",24,"Dec",60,22,356,4344,"22/12/1993"
"1993","b","scrub",12,12.5,0.5086,"12",24,"Dec",72,22,356,4344,"22/12/1993"
"1994","a","broadleaf",1,1,0.8102,"1",25,"Jan",73,7,7,4351,"7/1/1994"
"1994","a","Lloyd",1,1,0.6734,"1",25,"Jan",85,7,7,4351,"7/1/1994"
"1994","a","scrub",1,1,0.46,"1",25,"Jan",97,7,7,4351,"7/1/1994"
"1994","b","broadleaf",1,1.5,0.7392,"1",26,"Jan",109,22,22,4373,"22/1/1994"
"1994","b","Lloyd",1,1.5,0.6384,"1",26,"Jan",121,22,22,4373,"22/1/1994"
"1994","b","scrub",1,1.5,0.4108,"1",26,"Jan",133,22,22,4373,"22/1/1994"
"1994","a","broadleaf",2,2,0.7805,"2",27,"Feb",74,7,38,4411,"7/2/1994"
"1994","a","Lloyd",2,2,0.6771,"2",27,"Feb",86,7,38,4411,"7/2/1994"
"1994","a","scrub",2,2,0.4065,"2",27,"Feb",98,7,38,4411,"7/2/1994"
"1994","b","broadleaf",2,2.5,0.7104,"2",28,"Feb",110,22,53,4464,"22/2/1994"
"1994","b","Lloyd",2,2.5,0.6412,"2",28,"Feb",122,22,53,4464,"22/2/1994"
"1994","b","scrub",2,2.5,0.3765,"2",28,"Feb",134,22,53,4464,"22/2/1994"
"1994","a","broadleaf",3,3,0.62,"3",29,"Mar",75,7,66,4530,"7/3/1994"
"1994","a","Lloyd",3,3,0.625,"3",29,"Mar",87,7,66,4530,"7/3/1994"
"1994","a","scrub",3,3,0.3487,"3",29,"Mar",99,7,66,4530,"7/3/1994"
"1994","b","broadleaf",3,3.5,0.6642,"3",30,"Mar",111,22,81,4611,"22/3/1994"
"1994","b","Lloyd",3,3.5,0.5597,"3",30,"Mar",123,22,81,4611,"22/3/1994"
"1994","b","scrub",3,3.5,0.34,"3",30,"Mar",135,22,81,4611,"22/3/1994"
"1994","a","broadleaf",4,4,0.637,"4",31,"Apr",76,7,97,4708,"7/4/1994"
"1994","a","Lloyd",4,4,0.5783,"4",31,"Apr",88,7,97,4708,"7/4/1994"
"1994","a","scrub",4,4,0.376,"4",31,"Apr",100,7,97,4708,"7/4/1994"
"1994","b","broadleaf",4,4.5,0.758,"4",32,"Apr",112,22,112,4820,"22/4/1994"
"1994","b","Lloyd",4,4.5,0.6571,"4",32,"Apr",124,22,112,4820,"22/4/1994"
"1994","b","scrub",4,4.5,0.4834,"4",32,"Apr",136,22,112,4820,"22/4/1994"
"1994","a","broadleaf",5,5,0.7625,"5",33,"May",77,7,127,4947,"7/5/1994"
"1994","a","Lloyd",5,5,0.6068,"5",33,"May",89,7,127,4947,"7/5/1994"
"1994","a","scrub",5,5,0.5307,"5",33,"May",101,7,127,4947,"7/5/1994"
"1994","b","broadleaf",5,5.5,0.7198,"5",34,"May",113,22,142,5089,"22/5/1994"
"1994","b","Lloyd",5,5.5,0.6041,"5",34,"May",125,22,142,5089,"22/5/1994"
"1994","b","scrub",5,5.5,0.4338,"5",34,"May",137,22,142,5089,"22/5/1994"
"1994","a","broadleaf",6,6,0.7319,"6",35,"Jun",78,7,158,5247,"7/6/1994"
"1994","a","Lloyd",6,6,0.5937,"6",35,"Jun",90,7,158,5247,"7/6/1994"
"1994","a","scrub",6,6,0.4569,"6",35,"Jun",102,7,158,5247,"7/6/1994"
"1994","b","broadleaf",6,6.5,0.6921,"6",36,"Jun",114,22,173,5420,"22/6/1994"
"1994","b","Lloyd",6,6.5,0.6281,"6",36,"Jun",126,22,173,5420,"22/6/1994"
"1994","b","scrub",6,6.5,0.4406,"6",36,"Jun",138,22,173,5420,"22/6/1994"
"1994","a","broadleaf",7,7,0.5828,"7",37,"Jul",79,7,188,5608,"7/7/1994"
"1994","a","Lloyd",7,7,0.6219,"7",37,"Jul",91,7,188,5608,"7/7/1994"
"1994","a","scrub",7,7,0.4173,"7",37,"Jul",103,7,188,5608,"7/7/1994"
"1994","b","broadleaf",7,7.5,0.6381,"7",38,"Jul",115,22,203,5811,"22/7/1994"
"1994","b","Lloyd",7,7.5,0.6489,"7",38,"Jul",127,22,203,5811,"22/7/1994"
"1994","b","scrub",7,7.5,0.3945,"7",38,"Jul",139,22,203,5811,"22/7/1994"
"1994","a","broadleaf",8,8,0.5866,"8",39,"Aug",80,7,219,6030,"7/8/1994"
"1994","a","Lloyd",8,8,0.6457,"8",39,"Aug",92,7,219,6030,"7/8/1994"
"1994","a","scrub",8,8,0.3781,"8",39,"Aug",104,7,219,6030,"7/8/1994"
"1994","b","broadleaf",8,8.5,0.6408,"8",40,"Aug",116,22,234,6264,"22/8/1994"
"1994","b","Lloyd",8,8.5,0.6293,"8",40,"Aug",128,22,234,6264,"22/8/1994"
"1994","b","scrub",8,8.5,0.3846,"8",40,"Aug",140,22,234,6264,"22/8/1994"
"1994","a","broadleaf",9,9,0.7072,"9",41,"Sep",81,7,250,6514,"7/9/1994"
"1994","a","Lloyd",9,9,0.6129,"9",41,"Sep",93,7,250,6514,"7/9/1994"
"1994","a","scrub",9,9,0.3802,"9",41,"Sep",105,7,250,6514,"7/9/1994"
"1994","b","broadleaf",9,9.5,0.6171,"9",42,"Sep",117,22,265,6779,"22/9/1994"
"1994","b","Lloyd",9,9.5,0.6435,"9",42,"Sep",129,22,265,6779,"22/9/1994"
"1994","b","scrub",9,9.5,0.4611,"9",42,"Sep",141,22,265,6779,"22/9/1994"
"1994","a","broadleaf",10,10,0.6116,"10",43,"Oct",82,7,280,7059,"7/10/1994"
"1994","a","Lloyd",10,10,0.6913,"10",43,"Oct",94,7,280,7059,"7/10/1994"
"1994","a","scrub",10,10,0.4325,"10",43,"Oct",106,7,280,7059,"7/10/1994"
"1994","b","broadleaf",10,10.5,0.7704,"10",44,"Oct",118,22,295,7354,"22/10/1994"
"1994","b","Lloyd",10,10.5,0.6788,"10",44,"Oct",130,22,295,7354,"22/10/1994"
"1994","b","scrub",10,10.5,0.507,"10",44,"Oct",142,22,295,7354,"22/10/1994"
"1994","a","broadleaf",11,11,0.8437,"11",45,"Nov",83,7,311,7665,"7/11/1994"
"1994","a","Lloyd",11,11,0.6702,"11",45,"Nov",95,7,311,7665,"7/11/1994"
"1994","a","scrub",11,11,0.5131,"11",45,"Nov",107,7,311,7665,"7/11/1994"
"1994","b","broadleaf",11,11.5,0.8476,"11",46,"Nov",119,22,326,7991,"22/11/1994"
"1994","b","Lloyd",11,11.5,0.6996,"11",46,"Nov",131,22,326,7991,"22/11/1994"
"1994","b","scrub",11,11.5,0.5342,"11",46,"Nov",143,22,326,7991,"22/11/1994"
"1994","a","broadleaf",12,12,0.8572,"12",47,"Dec",84,7,341,8332,"7/12/1994"
"1994","a","Lloyd",12,12,0.6877,"12",47,"Dec",96,7,341,8332,"7/12/1994"
"1994","a","scrub",12,12,0.5135,"12",47,"Dec",108,7,341,8332,"7/12/1994"
"1994","b","broadleaf",12,12.5,0.7944,"12",48,"Dec",120,22,356,8688,"22/12/1994"
"1994","b","Lloyd",12,12.5,0.6621,"12",48,"Dec",132,22,356,8688,"22/12/1994"
"1994","b","scrub",12,12.5,0.4954,"12",48,"Dec",144,22,356,8688,"22/12/1994"
"1995","a","broadleaf",1,1,0.704,"1",49,"Jan",145,7,7,8695,"7/1/1995"
"1995","a","Lloyd",1,1,0.7059,"1",49,"Jan",157,7,7,8695,"7/1/1995"
"1995","a","scrub",1,1,0.4766,"1",49,"Jan",169,7,7,8695,"7/1/1995"
"1995","b","broadleaf",1,1.5,0.8049,"1",50,"Jan",181,22,22,8717,"22/1/1995"
"1995","b","Lloyd",1,1.5,0.6605,"1",50,"Jan",193,22,22,8717,"22/1/1995"
"1995","b","scrub",1,1.5,0.5063,"1",50,"Jan",205,22,22,8717,"22/1/1995"
"1995","a","broadleaf",2,2,0.7679,"2",51,"Feb",146,7,38,8755,"7/2/1995"
"1995","a","Lloyd",2,2,0.6754,"2",51,"Feb",158,7,38,8755,"7/2/1995"
"1995","a","scrub",2,2,0.4605,"2",51,"Feb",170,7,38,8755,"7/2/1995"
"1995","b","broadleaf",2,2.5,0.7549,"2",52,"Feb",182,22,53,8808,"22/2/1995"
"1995","b","Lloyd",2,2.5,0.5865,"2",52,"Feb",194,22,53,8808,"22/2/1995"
"1995","b","scrub",2,2.5,0.4547,"2",52,"Feb",206,22,53,8808,"22/2/1995"
"1995","a","broadleaf",3,3,0.7568,"3",53,"Mar",147,7,66,8874,"7/3/1995"
"1995","a","Lloyd",3,3,0.6117,"3",53,"Mar",159,7,66,8874,"7/3/1995"
"1995","a","scrub",3,3,0.4326,"3",53,"Mar",171,7,66,8874,"7/3/1995"
"1995","b","broadleaf",3,3.5,0.6069,"3",54,"Mar",183,22,81,8955,"22/3/1995"
"1995","b","Lloyd",3,3.5,0.6008,"3",54,"Mar",195,22,81,8955,"22/3/1995"
"1995","b","scrub",3,3.5,0.3878,"3",54,"Mar",207,22,81,8955,"22/3/1995"
"1995","a","broadleaf",4,4,0.8021,"4",55,"Apr",148,7,97,9052,"7/4/1995"
"1995","a","Lloyd",4,4,0.6945,"4",55,"Apr",160,7,97,9052,"7/4/1995"
"1995","a","scrub",4,4,0.5511,"4",55,"Apr",172,7,97,9052,"7/4/1995"
"1995","b","broadleaf",4,4.5,0.8317,"4",56,"Apr",184,22,112,9164,"22/4/1995"
"1995","b","Lloyd",4,4.5,0.7024,"4",56,"Apr",196,22,112,9164,"22/4/1995"
"1995","b","scrub",4,4.5,0.5063,"4",56,"Apr",208,22,112,9164,"22/4/1995"
"1995","a","broadleaf",5,5,0.7114,"5",57,"May",149,7,127,9291,"7/5/1995"
"1995","a","Lloyd",5,5,0.5656,"5",57,"May",161,7,127,9291,"7/5/1995"
"1995","a","scrub",5,5,0.4217,"5",57,"May",173,7,127,9291,"7/5/1995"
"1995","b","broadleaf",5,5.5,0.6938,"5",58,"May",185,22,142,9433,"22/5/1995"
"1995","b","Lloyd",5,5.5,0.6196,"5",58,"May",197,22,142,9433,"22/5/1995"
"1995","b","scrub",5,5.5,0.3769,"5",58,"May",209,22,142,9433,"22/5/1995"
"1995","a","broadleaf",6,6,0.6291,"6",59,"Jun",150,7,158,9591,"7/6/1995"
"1995","a","Lloyd",6,6,0.593,"6",59,"Jun",162,7,158,9591,"7/6/1995"
"1995","a","scrub",6,6,0.3659,"6",59,"Jun",174,7,158,9591,"7/6/1995"
"1995","b","broadleaf",6,6.5,0.4903,"6",60,"Jun",186,22,173,9764,"22/6/1995"
"1995","b","Lloyd",6,6.5,0.5791,"6",60,"Jun",198,22,173,9764,"22/6/1995"
"1995","b","scrub",6,6.5,0.2734,"6",60,"Jun",210,22,173,9764,"22/6/1995"
"1995","a","broadleaf",7,7,0.6605,"7",61,"Jul",151,7,188,9952,"7/7/1995"
"1995","a","Lloyd",7,7,0.6427,"7",61,"Jul",163,7,188,9952,"7/7/1995"
"1995","a","scrub",7,7,0.3729,"7",61,"Jul",175,7,188,9952,"7/7/1995"
"1995","b","broadleaf",7,7.5,0.642,"7",62,"Jul",187,22,203,10155,"22/7/1995"
"1995","b","Lloyd",7,7.5,0.5995,"7",62,"Jul",199,22,203,10155,"22/7/1995"
"1995","b","scrub",7,7.5,0.4416,"7",62,"Jul",211,22,203,10155,"22/7/1995"
"1995","a","broadleaf",8,8,0.7484,"8",63,"Aug",152,7,219,10374,"7/8/1995"
"1995","a","Lloyd",8,8,0.6239,"8",63,"Aug",164,7,219,10374,"7/8/1995"
"1995","a","scrub",8,8,0.5312,"8",63,"Aug",176,7,219,10374,"7/8/1995"
"1995","b","broadleaf",8,8.5,0.7031,"8",64,"Aug",188,22,234,10608,"22/8/1995"
"1995","b","Lloyd",8,8.5,0.6562,"8",64,"Aug",200,22,234,10608,"22/8/1995"
"1995","b","scrub",8,8.5,0.5122,"8",64,"Aug",212,22,234,10608,"22/8/1995"
"1995","a","broadleaf",9,9,0.7197,"9",65,"Sep",153,7,250,10858,"7/9/1995"
"1995","a","Lloyd",9,9,0.6836,"9",65,"Sep",165,7,250,10858,"7/9/1995"
"1995","a","scrub",9,9,0.5431,"9",65,"Sep",177,7,250,10858,"7/9/1995"
"1995","b","broadleaf",9,9.5,0.7003,"9",66,"Sep",189,22,265,11123,"22/9/1995"
"1995","b","Lloyd",9,9.5,0.6836,"9",66,"Sep",201,22,265,11123,"22/9/1995"
"1995","b","scrub",9,9.5,0.5849,"9",66,"Sep",213,22,265,11123,"22/9/1995"
"1995","a","broadleaf",10,10,0.853,"10",67,"Oct",154,7,280,11403,"7/10/1995"
"1995","a","Lloyd",10,10,0.5995,"10",67,"Oct",166,7,280,11403,"7/10/1995"
"1995","a","scrub",10,10,0.5789,"10",67,"Oct",178,7,280,11403,"7/10/1995"
"1995","b","broadleaf",10,10.5,0.7345,"10",68,"Oct",190,22,295,11698,"22/10/1995"
"1995","b","Lloyd",10,10.5,0.715,"10",68,"Oct",202,22,295,11698,"22/10/1995"
"1995","b","scrub",10,10.5,0.5371,"10",68,"Oct",214,22,295,11698,"22/10/1995"
"1995","a","broadleaf",11,11,0.8594,"11",69,"Nov",155,7,311,12009,"7/11/1995"
"1995","a","Lloyd",11,11,0.7459,"11",69,"Nov",167,7,311,12009,"7/11/1995"
"1995","a","scrub",11,11,0.5829,"11",69,"Nov",179,7,311,12009,"7/11/1995"
"1995","b","broadleaf",11,11.5,0.8483,"11",70,"Nov",191,22,326,12335,"22/11/1995"
"1995","b","Lloyd",11,11.5,0.7499,"11",70,"Nov",203,22,326,12335,"22/11/1995"
"1995","b","scrub",11,11.5,0.5122,"11",70,"Nov",215,22,326,12335,"22/11/1995"
"1995","a","broadleaf",12,12,0.7817,"12",71,"Dec",156,7,341,12676,"7/12/1995"
"1995","a","Lloyd",12,12,0.7137,"12",71,"Dec",168,7,341,12676,"7/12/1995"
"1995","a","scrub",12,12,0.4943,"12",71,"Dec",180,7,341,12676,"7/12/1995"
"1995","b","broadleaf",12,12.5,0.8113,"12",72,"Dec",192,22,356,13032,"22/12/1995"
"1995","b","Lloyd",12,12.5,0.6562,"12",72,"Dec",204,22,356,13032,"22/12/1995"
"1995","b","scrub",12,12.5,0.4804,"12",72,"Dec",216,22,356,13032,"22/12/1995"
"1996","a","broadleaf",1,1,0.779,"1",73,"Jan",217,7,7,13039,"7/1/1996"
"1996","a","Lloyd",1,1,0.6396,"1",73,"Jan",229,7,7,13039,"7/1/1996"
"1996","a","scrub",1,1,0.4874,"1",73,"Jan",241,7,7,13039,"7/1/1996"
"1996","b","broadleaf",1,1.5,0.7308,"1",74,"Jan",253,22,22,13061,"22/1/1996"
"1996","b","Lloyd",1,1.5,0.6653,"1",74,"Jan",265,22,22,13061,"22/1/1996"
"1996","b","scrub",1,1.5,0.4933,"1",74,"Jan",277,22,22,13061,"22/1/1996"
"1996","a","broadleaf",2,2,0.6883,"2",75,"Feb",218,7,38,13099,"7/2/1996"
"1996","a","Lloyd",2,2,0.6923,"2",75,"Feb",230,7,38,13099,"7/2/1996"
"1996","a","scrub",2,2,0.4774,"2",75,"Feb",242,7,38,13099,"7/2/1996"
"1996","b","broadleaf",2,2.5,0.5939,"2",76,"Feb",254,22,53,13152,"22/2/1996"
"1996","b","Lloyd",2,2.5,0.6723,"2",76,"Feb",266,22,53,13152,"22/2/1996"
"1996","b","scrub",2,2.5,0.4894,"2",76,"Feb",278,22,53,13152,"22/2/1996"
"1996","a","broadleaf",3,3,0.6282,"3",77,"Mar",219,7,67,13219,"7/3/1996"
"1996","a","Lloyd",3,3,0.5534,"3",77,"Mar",231,7,67,13219,"7/3/1996"
"1996","a","scrub",3,3,0.4923,"3",77,"Mar",243,7,67,13219,"7/3/1996"
"1996","b","broadleaf",3,3.5,0.7457,"3",78,"Mar",255,22,82,13301,"22/3/1996"
"1996","b","Lloyd",3,3.5,0.6871,"3",78,"Mar",267,22,82,13301,"22/3/1996"
"1996","b","scrub",3,3.5,0.4814,"3",78,"Mar",279,22,82,13301,"22/3/1996"
"1996","a","broadleaf",4,4,0.7706,"4",79,"Apr",220,7,98,13399,"7/4/1996"
"1996","a","Lloyd",4,4,0.6544,"4",79,"Apr",232,7,98,13399,"7/4/1996"
"1996","a","scrub",4,4,0.4286,"4",79,"Apr",244,7,98,13399,"7/4/1996"
"1996","b","broadleaf",4,4.5,0.7882,"4",80,"Apr",256,22,113,13512,"22/4/1996"
"1996","b","Lloyd",4,4.5,0.6366,"4",80,"Apr",268,22,113,13512,"22/4/1996"
"1996","b","scrub",4,4.5,0.4943,"4",80,"Apr",280,22,113,13512,"22/4/1996"
"1996","a","broadleaf",5,5,0.5893,"5",81,"May",221,7,128,13640,"7/5/1996"
"1996","a","Lloyd",5,5,0.6815,"5",81,"May",233,7,128,13640,"7/5/1996"
"1996","a","scrub",5,5,0.4635,"5",81,"May",245,7,128,13640,"7/5/1996"
"1996","b","broadleaf",5,5.5,0.6087,"5",82,"May",257,22,143,13783,"22/5/1996"
"1996","b","Lloyd",5,5.5,0.6148,"5",82,"May",269,22,143,13783,"22/5/1996"
"1996","b","scrub",5,5.5,0.345,"5",82,"May",281,22,143,13783,"22/5/1996"
"1996","a","broadleaf",6,6,0.6938,"6",83,"Jun",222,7,159,13942,"7/6/1996"
"1996","a","Lloyd",6,6,0.6575,"6",83,"Jun",234,7,159,13942,"7/6/1996"
"1996","a","scrub",6,6,0.3729,"6",83,"Jun",246,7,159,13942,"7/6/1996"
"1996","b","broadleaf",6,6.5,0.766,"6",84,"Jun",258,22,174,14116,"22/6/1996"
"1996","b","Lloyd",6,6.5,0.6575,"6",84,"Jun",270,22,174,14116,"22/6/1996"
"1996","b","scrub",6,6.5,0.5003,"6",84,"Jun",282,22,174,14116,"22/6/1996"
"1996","a","broadleaf",7,7,0.6781,"7",85,"Jul",223,7,189,14305,"7/7/1996"
"1996","a","Lloyd",7,7,0.664,"7",85,"Jul",235,7,189,14305,"7/7/1996"
"1996","a","scrub",7,7,0.3251,"7",85,"Jul",247,7,189,14305,"7/7/1996"
"1996","b","broadleaf",7,7.5,0.6901,"7",86,"Jul",259,22,204,14509,"22/7/1996"
"1996","b","Lloyd",7,7.5,0.6745,"7",86,"Jul",271,22,204,14509,"22/7/1996"
"1996","b","scrub",7,7.5,0.362,"7",86,"Jul",283,22,204,14509,"22/7/1996"
"1996","a","broadleaf",8,8,0.7123,"8",87,"Aug",224,7,220,14729,"7/8/1996"
"1996","a","Lloyd",8,8,0.6762,"8",87,"Aug",236,7,220,14729,"7/8/1996"
"1996","a","scrub",8,8,0.3998,"8",87,"Aug",248,7,220,14729,"7/8/1996"
"1996","b","broadleaf",8,8.5,0.6689,"8",88,"Aug",260,22,235,14964,"22/8/1996"
"1996","b","Lloyd",8,8.5,0.6693,"8",88,"Aug",272,22,235,14964,"22/8/1996"
"1996","b","scrub",8,8.5,0.3968,"8",88,"Aug",284,22,235,14964,"22/8/1996"
"1996","a","broadleaf",9,9,0.5107,"9",89,"Sep",225,7,251,15215,"7/9/1996"
"1996","a","Lloyd",9,9,0.6078,"9",89,"Sep",237,7,251,15215,"7/9/1996"
"1996","a","scrub",9,9,0.2117,"9",89,"Sep",249,7,251,15215,"7/9/1996"
"1996","b","broadleaf",9,9.5,0.8298,"9",90,"Sep",261,22,266,15481,"22/9/1996"
"1996","b","Lloyd",9,9.5,0.6161,"9",90,"Sep",273,22,266,15481,"22/9/1996"
"1996","b","scrub",9,9.5,0.5292,"9",90,"Sep",285,22,266,15481,"22/9/1996"
"1996","a","broadleaf",10,10,0.8474,"10",91,"Oct",226,7,281,15762,"7/10/1996"
"1996","a","Lloyd",10,10,0.6117,"10",91,"Oct",238,7,281,15762,"7/10/1996"
"1996","a","scrub",10,10,0.5182,"10",91,"Oct",250,7,281,15762,"7/10/1996"
"1996","b","broadleaf",10,10.5,0.8539,"10",92,"Oct",262,22,296,16058,"22/10/1996"
"1996","b","Lloyd",10,10.5,0.7106,"10",92,"Oct",274,22,296,16058,"22/10/1996"
"1996","b","scrub",10,10.5,0.6148,"10",92,"Oct",286,22,296,16058,"22/10/1996"
"1996","a","broadleaf",11,11,0.8761,"11",93,"Nov",227,7,312,16370,"7/11/1996"
"1996","a","Lloyd",11,11,0.7146,"11",93,"Nov",239,7,312,16370,"7/11/1996"
"1996","a","scrub",11,11,0.6934,"11",93,"Nov",251,7,312,16370,"7/11/1996"
"1996","b","broadleaf",11,11.5,0.754,"11",94,"Nov",263,22,327,16697,"22/11/1996"
"1996","b","Lloyd",11,11.5,0.6627,"11",94,"Nov",275,22,327,16697,"22/11/1996"
"1996","b","scrub",11,11.5,0.602,"11",94,"Nov",287,22,327,16697,"22/11/1996"
"1996","a","broadleaf",12,12,0.7031,"12",95,"Dec",228,7,342,17039,"7/12/1996"
"1996","a","Lloyd",12,12,0.6675,"12",95,"Dec",240,7,342,17039,"7/12/1996"
